run_id,algorithm,optimizer,seed,N_local,M_blocks,n_total,p,lambda,runtime_sec,best_profit,classical_opt_profit,num_samples_total,num_samples_feasible,num_samples_postselected,num_objective_evals,num_qubits,circuit_depth,two_qubit_gate_count,solution_path,history_path,notes
classical_na_na_n5_m3_pna_20260405T064835Z,classical,,,5,3,15,,,0.04777150001609698,1196.673252444,1196.673252444,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n5_m3_pna_20260405T064835Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n5_m3_pna_20260405T064835Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_local_cobyla_n5_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T064850Z,qaoa,cobyla,0,5,3,15,1,"[515.3601024000001, 669.5972399999999, 921.6943125]",144.55424809997203,667.412813664,1196.673252444,21504,3679,,84,8,,28,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T064850Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T064850Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_spsa_n5_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T065135Z,qaoa,spsa,0,5,3,15,1,"[515.3601024000001, 669.5972399999999, 921.6943125]",359.056249199959,1177.21026774,1196.673252444,61440,11467,,240,8,,28,SOLUTIONS/HEURISTICS/solutions/qaoa_local_spsa_n5_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T065135Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_spsa_n5_m3_p1_lamx3_515p360102-669p59724-921p694313_20260405T065135Z_history.csv,execution_target=local; optimizer=spsa; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_cobyla_n10_m3_p1_lamx3_687p146803-892p79632-1228p92575_20260405T070715Z,qaoa,cobyla,0,10,3,30,1,"[687.1468032000001, 892.7963199999999, 1228.92575]",544.7821642000345,1220.5078051719997,1551.731433516,22016,2413,,86,15,,82,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n10_m3_p1_lamx3_687p146803-892p79632-1228p92575_20260405T070715Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n10_m3_p1_lamx3_687p146803-892p79632-1228p92575_20260405T070715Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
classical_na_na_n10_m3_pna_20260405T072758Z,classical,,,10,3,30,,,0.04491320002125576,1551.731433516,1551.731433516,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m3_pna_20260405T072758Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m3_pna_20260405T072758Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072510Z,qaoa,cobyla,0,5,3,15,2,"[687.1468032000001, 892.7963199999999, 1228.92575]",95.48158966600022,795.7436615,1196.673252444,28160,4491,,110,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072510Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072510Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072647Z,qaoa,cobyla,0,5,3,15,2,"[687.1468032000001, 892.7963199999999, 1228.92575]",92.4316054170049,795.7436615,1196.673252444,28160,4491,,110,8,,56,SOLUTIONS/HEURISTICS/solutions/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072647Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_local_cobyla_n5_m3_p2_lamx3_687p146803-892p79632-1228p92575_20260405T072647Z_history.csv,execution_target=local; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
qaoa_selene_cobyla_n10_m3_p2_lamx3_515p360102-669p59724-921p694313_20260405T072803Z,qaoa,cobyla,0,10,3,30,2,"[515.3601024000001, 669.5972399999999, 921.6943125]",3398.983705200022,969.241856056,1551.731433516,28928,2522,,113,15,,164,SOLUTIONS/HEURISTICS/solutions/qaoa_selene_cobyla_n10_m3_p2_lamx3_515p360102-669p59724-921p694313_20260405T072803Z_solution.csv,SOLUTIONS/HEURISTICS/histories/qaoa_selene_cobyla_n10_m3_p2_lamx3_515p360102-669p59724-921p694313_20260405T072803Z_history.csv,execution_target=selene; optimizer=cobyla; num_samples_feasible counts per-evaluation package-local samples against original coverage constraints; two_qubit_gate_count is derived from generated QAOA zz_phase terms; compiled circuit depth is unavailable from the current guppylang/hugr package API; lambda stores one penalty value per package-local block
classical_na_na_n10_m3_pna_20260405T083105Z,classical,,,10,3,30,,,0.053160800016485155,1551.731433516,1551.731433516,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m3_pna_20260405T083105Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m3_pna_20260405T083105Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
classical_na_na_n10_m3_pna_20260405T083209Z,classical,,,10,3,30,,,0.029834600049071014,1551.731433516,1551.731433516,,,,,,,,SOLUTIONS/HEURISTICS/solutions/classical_na_na_n10_m3_pna_20260405T083209Z_solution.csv,SOLUTIONS/HEURISTICS/histories/classical_na_na_n10_m3_pna_20260405T083209Z_history.csv,classical ILP baseline; configured seed=0 not used by solver
