[package 1] Starting COBYLA on 8 qubits (5 coverage + 3 slack), shots=256, maxiter=40
[package 1] eval 1: mean_energy=6620.571684, best_mean=6620.571684, best_sample=-334.401881, elapsed=2.38s (new best)
[package 1] eval 2: mean_energy=6772.483732, best_mean=6620.571684, best_sample=-129.680029, elapsed=0.78s
[package 1] eval 3: mean_energy=6649.970605, best_mean=6620.571684, best_sample=-129.680029, elapsed=0.75s
[package 1] eval 4: mean_energy=7082.926856, best_mean=6620.571684, best_sample=250.134312, elapsed=0.83s
[package 1] eval 5: mean_energy=6097.575905, best_mean=6097.575905, best_sample=-334.401881, elapsed=0.76s (new best)
[package 1] eval 6: mean_energy=6155.620922, best_mean=6097.575905, best_sample=-129.680029, elapsed=0.77s
[package 1] eval 7: mean_energy=6580.901260, best_mean=6097.575905, best_sample=-334.401881, elapsed=0.82s
[package 1] eval 8: mean_energy=6309.203055, best_mean=6097.575905, best_sample=250.134312, elapsed=0.78s
[package 1] eval 9: mean_energy=7926.772254, best_mean=6097.575905, best_sample=-198.856120, elapsed=0.78s
[package 1] eval 10: mean_energy=5533.680045, best_mean=5533.680045, best_sample=-265.225790, elapsed=0.80s (new best)
[package 1] eval 11: mean_energy=7103.374964, best_mean=5533.680045, best_sample=-265.225790, elapsed=0.77s
[package 1] eval 12: mean_energy=6097.776853, best_mean=5533.680045, best_sample=-265.225790, elapsed=0.82s
[package 1] eval 13: mean_energy=5400.112044, best_mean=5400.112044, best_sample=-334.401881, elapsed=0.77s (new best)
[package 1] eval 14: mean_energy=5724.412835, best_mean=5400.112044, best_sample=-265.225790, elapsed=0.92s
[package 1] eval 15: mean_energy=5330.030796, best_mean=5330.030796, best_sample=-334.401881, elapsed=0.82s (new best)
[package 1] eval 16: mean_energy=8080.740188, best_mean=5330.030796, best_sample=-129.680029, elapsed=0.93s
[package 1] eval 17: mean_energy=5143.471701, best_mean=5143.471701, best_sample=-265.225790, elapsed=0.76s (new best)
[package 1] eval 18: mean_energy=5572.054745, best_mean=5143.471701, best_sample=-334.401881, elapsed=0.77s
[package 1] eval 19: mean_energy=9090.283355, best_mean=5143.471701, best_sample=250.134312, elapsed=0.78s
[package 1] eval 20: mean_energy=7837.098199, best_mean=5143.471701, best_sample=-265.225790, elapsed=0.77s
[package 1] eval 21: mean_energy=6376.052044, best_mean=5143.471701, best_sample=250.134312, elapsed=0.75s
[package 1] eval 22: mean_energy=6807.708131, best_mean=5143.471701, best_sample=250.134312, elapsed=0.77s
[package 1] eval 23: mean_energy=6480.053128, best_mean=5143.471701, best_sample=-265.225790, elapsed=0.76s
[package 1] eval 24: mean_energy=4390.610361, best_mean=4390.610361, best_sample=-198.856120, elapsed=0.77s (new best)
[package 1] eval 25: mean_energy=6575.612935, best_mean=4390.610361, best_sample=250.134312, elapsed=0.77s
[package 1] eval 26: mean_energy=5958.212160, best_mean=4390.610361, best_sample=250.134312, elapsed=0.75s
[package 1] eval 27: mean_energy=7821.519404, best_mean=4390.610361, best_sample=-334.401881, elapsed=0.77s
[package 1] eval 28: mean_energy=6022.554034, best_mean=4390.610361, best_sample=-265.225790, elapsed=0.80s
[package 1] eval 29: mean_energy=6596.041384, best_mean=4390.610361, best_sample=-334.401881, elapsed=0.76s
[package 1] eval 30: mean_energy=6799.930376, best_mean=4390.610361, best_sample=-265.225790, elapsed=0.76s
[package 1] eval 31: mean_energy=8756.041386, best_mean=4390.610361, best_sample=-215.017321, elapsed=0.90s
[package 1] eval 32: mean_energy=8029.428549, best_mean=4390.610361, best_sample=-265.225790, elapsed=0.84s
[package 1] eval 33: mean_energy=5124.434102, best_mean=4390.610361, best_sample=-129.680029, elapsed=0.78s
[package 1] eval 34: mean_energy=8626.580255, best_mean=4390.610361, best_sample=584.536193, elapsed=0.82s
[package 1] eval 35: mean_energy=6484.367614, best_mean=4390.610361, best_sample=-198.856120, elapsed=0.77s
[package 1] eval 36: mean_energy=7551.802348, best_mean=4390.610361, best_sample=-265.225790, elapsed=0.79s
[package 1] eval 37: mean_energy=4382.048547, best_mean=4382.048547, best_sample=-129.680029, elapsed=0.78s (new best)
[package 1] eval 38: mean_energy=4418.624151, best_mean=4382.048547, best_sample=309.514302, elapsed=0.77s
[package 1] eval 39: mean_energy=4902.187236, best_mean=4382.048547, best_sample=-129.680029, elapsed=0.77s
