source_type,source_abbrev,kind,target_type,target_abbrev
OPTION,OPT_ADAS_PPLUS,IMPLIES,OPTION,OPT_ADAS_REARCAM
OPTION,OPT_ADAS_PPLUS,IMPLIES,OPTION,OPT_ADAS_CAM360
OPTION,OPT_ADAS_LCA,IMPLIES,OPTION,OPT_ADAS_LDW
OPTION,OPT_ADAS_PARK,IMPLIES,OPTION,OPT_ADAS_REARCAM
OPTION,OPT_SFEAT_MSG,IMPLIES,OPTION,OPT_SFEAT_VENT
OPTION,OPT_SFEAT_MSG,IMPLIES,OPTION,OPT_SFEAT_HTF
OPTION,OPT_STYPE_SP,IMPLIES,OPTION,OPT_STWHL_SP
OPTION,OPT_STWHL_PDL,IMPLIES,OPTION,OPT_STWHL_STD
OPTION,OPT_INF_HUD,IMPLIES,OPTION,OPT_INF_DDIG
OPTION,OPT_INF_TS12,IMPLIES,OPTION,OPT_INF_TS8
OPTION,OPT_UPHOL_ALC,FORBIDS,OPTION,OPT_UPHOL_CLTH
OPTION,OPT_UPHOL_PREM,IMPLIES,OPTION,OPT_SFEAT_HTF
OPTION,OPT_WHL_20,IMPLIES,OPTION,OPT_CHAS_SSP
OPTION,OPT_CHAS_ADS,FORBIDS,OPTION,OPT_CHAS_SSP
OPTION,OPT_ADAS_EXT,IMPLIES,OPTION,OPT_ADAS_EA
